timestamp,soc,screen_on,brightness_raw,cpu_load_raw,x_net,t_env
0.0,59.0,1.0,136.0,81.0,0.1,298.15
0.1,59.0,1.0,136.0,82.0,0.10523589205812288,298.15
0.202,59.0,1.0,136.0,74.0,0.11057590649960057,298.15
0.302,59.0,1.0,136.0,90.0,0.11581004727608342,298.15
0.402,59.0,1.0,136.0,88.0,0.12104245430271937,298.15
0.504,59.0,1.0,136.0,91.0,0.12637712830031322,298.15
0.606,59.0,1.0,136.0,90.0,0.13170879289066262,298.15
0.759,59.0,1.0,136.0,93.0,0.1396993165970532,298.15
0.865,59.0,1.0,136.0,93.0,0.1452293821004993,298.15
0.912,59.0,1.0,136.0,92.0,0.14767964937299433,298.15
1.011,59.0,1.0,136.0,100.0,0.1528370003234896,298.15
1.113,59.0,1.0,136.0,81.0,0.1581446891774646,298.15
1.214,59.0,1.0,136.0,73.0,0.16339380723444188,298.15
1.315,59.0,1.0,136.0,92.0,0.16863583371528376,298.15
1.416,59.0,1.0,136.0,75.0,0.1738701822183918,298.15
1.516,59.0,1.0,136.0,82.0,0.17904456619054407,298.15
1.618,59.0,1.0,136.0,78.0,0.18431350404501665,298.15
1.718,59.0,1.0,136.0,81.0,0.1894697948199835,298.15
1.819,59.0,1.0,136.0,79.0,0.19466768755985173,298.15
1.92,59.0,1.0,136.0,94.0,0.19985499025720352,298.15
2.021,59.0,1.0,136.0,87.0,0.20503112263214052,298.15
2.121,59.0,1.0,136.0,87.0,0.2101444326179286,298.15
2.224,59.0,1.0,136.0,82.0,0.21539850850187914,298.15
2.324,59.0,1.0,136.0,91.0,0.22048671415556936,298.15
2.433,59.0,1.0,136.0,98.0,0.2260177893335489,298.15
2.541,59.0,1.0,136.0,97.0,0.23148192947775456,298.15
2.645,59.0,1.0,136.0,100.0,0.23672780729479137,298.15
2.745,59.0,1.0,136.0,100.0,0.2417566344777284,298.15
2.847,59.0,1.0,136.0,90.0,0.24687001974778533,298.15
2.947,59.0,1.0,136.0,87.0,0.2518668792479484,298.15
3.053,59.0,1.0,136.0,72.0,0.2571453556390806,298.15
3.158,59.0,1.0,132.0,63.0,0.2623549475266854,298.15
3.259,59.0,1.0,128.0,84.0,0.26734756476144894,298.15
3.366,59.0,1.0,123.0,94.0,0.2726163394920502,298.15
3.461,59.0,1.0,119.0,85.0,0.2772760815969575,298.15
3.561,59.0,1.0,115.0,91.0,0.2821621102416895,298.15
3.663,59.0,1.0,113.0,76.0,0.28712527638344654,298.15
3.765,59.0,1.0,113.0,82.0,0.2920670931138513,298.15
3.866,59.0,1.0,113.0,82.0,0.2969388704396124,298.15
3.967,59.0,1.0,113.0,82.0,0.3017886171119918,298.15
4.068,59.0,1.0,113.0,87.0,0.3066157906119441,298.15
4.174,59.0,1.0,113.0,82.0,0.3116570657357417,298.15
4.272,59.0,1.0,113.0,96.0,0.31629467984316045,298.15
4.373,59.0,1.0,113.0,92.0,0.32105041996608225,298.15
4.474,59.0,1.0,113.0,84.0,0.32578143218652694,298.15
4.574,59.0,1.0,113.0,67.0,0.3304407211445957,298.15
4.677,59.0,1.0,113.0,88.0,0.33521336448902733,298.15
4.78,59.0,1.0,113.0,83.0,0.3399586432104803,298.15
4.878,59.0,1.0,113.0,80.0,0.3444476600422826,298.15
4.984,59.0,1.0,113.0,60.0,0.3492741296745859,298.15
5.082,59.0,1.0,113.0,65.0,0.35370902594374354,298.15
5.184,59.0,1.0,113.0,58.0,0.3582965531637219,298.15
5.283,59.0,1.0,113.0,71.0,0.36272097592089714,298.15
5.384,59.0,1.0,113.0,87.0,0.36720567924785935,298.15
5.486,59.0,1.0,113.0,82.0,0.37170444743315634,298.15
5.54,59.0,1.0,113.0,76.0,0.3740736308502937,298.15
5.636,59.0,1.0,113.0,92.0,0.3782638242235492,298.15
5.739,59.0,1.0,113.0,85.0,0.38272826806476096,298.15
5.892,59.0,1.0,113.0,96.0,0.38929904463818255,298.15
6.028,59.0,1.0,113.0,93.0,0.39507744193495553,298.15
6.128,59.0,1.0,113.0,97.0,0.3992881461747721,298.15
6.251,59.0,1.0,113.0,93.0,0.4044222527190897,298.15
6.356,59.0,1.0,113.0,95.0,0.4087650995834944,298.15
6.435,59.0,1.0,113.0,96.0,0.41200799413030925,298.15
6.51,59.0,1.0,113.0,96.0,0.4150669355926846,298.15
6.568,59.0,1.0,113.0,94.0,0.41741920048775194,298.15
6.654,59.0,1.0,113.0,90.0,0.4208854623364202,298.15
6.757,59.0,1.0,113.0,80.0,0.42500264023848155,298.15
6.858,59.0,1.0,113.0,81.0,0.42900315941294775,298.15
6.958,59.0,1.0,113.0,79.0,0.43292781163997696,298.15
7.058,59.0,1.0,113.0,82.0,0.43681595458070444,298.15
7.16,59.0,1.0,113.0,72.0,0.4407438063507599,298.15
7.261,59.0,1.0,113.0,87.0,0.4445948450535302,298.15
7.369,59.0,1.0,113.0,95.0,0.44867012817416946,298.15
7.472,59.0,1.0,113.0,90.0,0.45251519955272435,298.15
7.572,59.0,1.0,113.0,95.0,0.4562090455820917,298.15
7.675,59.0,1.0,113.0,94.0,0.45997286507224333,298.15
7.804,59.0,1.0,113.0,100.0,0.46462765294097297,298.15
7.881,59.0,1.0,113.0,95.0,0.4673744337726288,298.15
7.979,59.0,1.0,113.0,100.0,0.470835767321238,298.15
8.08,59.0,1.0,113.0,94.0,0.4743621885670431,298.15
8.201,59.0,1.0,113.0,98.0,0.4785317387732908,298.15
8.304,59.0,1.0,113.0,97.0,0.48203316515152256,298.15
8.442,59.0,1.0,113.0,96.0,0.4866546591570592,298.15
8.492,59.0,1.0,113.0,95.0,0.4883092352926126,298.15
8.585,59.0,1.0,113.0,100.0,0.4913583971162852,298.15
8.687,59.0,1.0,113.0,85.0,0.49465994762199605,298.15
8.788,59.0,1.0,113.0,94.0,0.4978847638271891,298.15
8.888,59.0,1.0,113.0,87.0,0.5010338016171434,298.15
8.99,59.0,1.0,113.0,80.0,0.5042005118087265,298.15
9.091,59.0,1.0,113.0,75.0,0.5072907370711445,298.15
9.192,59.0,1.0,113.0,67.0,0.510335400576079,298.15
9.293,59.0,1.0,113.0,65.0,0.5133341617309074,298.15
9.394,59.0,1.0,113.0,68.0,0.516286685077894,298.15
9.495,59.0,1.0,113.0,54.0,0.5191926403317155,298.15
9.595,59.0,1.0,113.0,69.0,0.5220236257612031,298.15
9.696,59.0,1.0,113.0,66.0,0.5248359438524681,298.15
9.798,59.0,1.0,113.0,73.0,0.5276278730389643,298.15
9.898,59.0,1.0,113.0,64.0,0.5303176973708659,298.15
10.0,59.0,1.0,115.0,77.0,0.5330127018922193,298.15
10.1,59.0,1.0,119.0,70.0,0.5356069055600947,298.15
