timestamp,soc,screen_on,brightness_raw,cpu_load_raw,x_net,t_env
0.0,92,1.0,228.0,36.0,0,298.15
0.1,92,1.0,228.0,63.0,0,298.15
0.201,92,1.0,228.0,57.0,0,298.15
0.302,92,1.0,228.0,35.0,0,298.15
0.407,92,1.0,228.0,22.0,0,298.15
0.504,92,1.0,228.0,26.0,0,298.15
0.607,92,1.0,228.0,27.0,0,298.15
0.706,92,1.0,228.0,33.0,0,298.15
0.81,92,1.0,228.0,35.0,0,298.15
0.909,92,1.0,228.0,28.0,0,298.15
1.01,92,1.0,228.0,36.0,0,298.15
1.11,92,1.0,228.0,28.0,0,298.15
1.211,92,1.0,228.0,52.0,0,298.15
1.313,92,1.0,228.0,65.0,0,298.15
1.413,92,1.0,228.0,37.0,0,298.15
1.514,92,1.0,228.0,71.0,0,298.15
1.616,92,1.0,228.0,35.0,0,298.15
1.717,92,1.0,228.0,27.0,0,298.15
1.818,92,1.0,228.0,34.0,0,298.15
1.919,92,1.0,228.0,29.0,0,298.15
2.02,92,1.0,228.0,26.0,0,298.15
2.12,92,1.0,228.0,43.0,0,298.15
2.22,92,1.0,228.0,29.0,0,298.15
2.322,92,1.0,228.0,43.0,0,298.15
2.423,92,1.0,228.0,48.0,0,298.15
2.523,92,1.0,228.0,24.0,0,298.15
2.624,92,1.0,228.0,34.0,0,298.15
2.725,92,1.0,228.0,72.0,0,298.15
2.826,92,1.0,228.0,21.0,0,298.15
2.927,92,1.0,228.0,36.0,0,298.15
3.028,92,1.0,228.0,25.0,0,298.15
3.128,92,1.0,228.0,41.0,0,298.15
3.229,92,1.0,228.0,30.0,0,298.15
3.329,92,1.0,228.0,33.0,0,298.15
3.43,92,1.0,228.0,70.0,0,298.15
3.531,92,1.0,228.0,46.0,0,298.15
3.632,92,1.0,228.0,14.0,0,298.15
3.732,92,1.0,228.0,30.0,0,298.15
3.833,92,1.0,228.0,15.0,0,298.15
3.934,92,1.0,228.0,30.0,0,298.15
4.035,92,1.0,228.0,21.0,0,298.15
4.137,92,1.0,228.0,21.0,0,298.15
4.238,92,1.0,228.0,27.0,0,298.15
4.295,92,1.0,228.0,37.0,0,298.15
4.396,92,1.0,228.0,73.0,0,298.15
