timestamp,soc,screen_on,brightness_raw,cpu_load_raw,x_net,t_env
0.0,92.0,0,15.0,51.0,0.01,298.15
0.101,92.0,0,15.0,53.0,0.01,298.15
0.202,92.0,0,15.0,23.0,0.01,298.15
0.303,92.0,0,15.0,20.0,0.01,298.15
0.404,92.0,0,15.0,32.0,0.01,298.15
0.504,92.0,0,15.0,32.0,0.01,298.15
0.606,92.0,0,15.0,43.0,0.01,298.15
0.707,92.0,0,15.0,36.0,0.01,298.15
0.808,92.0,0,15.0,43.0,0.01,298.15
0.908,92.0,0,15.0,43.0,0.01,298.15
1.009,92.0,0,15.0,73.0,0.02,298.15
1.11,92.0,0,15.0,42.0,0.02,298.15
1.215,92.0,0,15.0,28.0,0.02,298.15
1.315,92.0,0,15.0,57.0,0.02,298.15
1.416,92.0,0,15.0,61.0,0.02,298.15
1.517,92.0,0,15.0,31.0,0.02,298.15
1.618,92.0,0,15.0,38.0,0.02,298.15
1.722,92.0,0,15.0,40.0,0.02,298.15
1.821,92.0,0,15.0,28.0,0.02,298.15
1.921,92.0,0,15.0,59.0,0.02,298.15
2.023,92.0,0,15.0,47.0,0.02,298.15
2.127,92.0,0,15.0,72.0,0.02,298.15
2.227,92.0,0,15.0,36.0,0.02,298.15
2.328,92.0,0,15.0,35.0,0.02,298.15
2.429,92.0,0,15.0,54.0,0.02,298.15
2.531,92.0,0,15.0,36.0,0.02,298.15
2.632,92.0,0,15.0,26.0,0.02,298.15
2.732,92.0,0,15.0,33.0,0.02,298.15
2.833,92.0,0,15.0,40.0,0.02,298.15
2.938,92.0,0,15.0,31.0,0.03,298.15
2.987,92.0,0,15.0,56.0,0.03,298.15
3.088,92.0,0,15.0,50.0,0.03,298.15
3.188,92.0,0,15.0,58.0,0.03,298.15
3.289,92.0,0,15.0,63.0,0.03,298.15
3.39,92.0,0,15.0,33.0,0.03,298.15
3.492,92.0,0,15.0,31.0,0.03,298.15
3.593,92.0,0,15.0,54.0,0.03,298.15
3.693,92.0,0,15.0,72.0,0.03,298.15
3.794,92.0,0,15.0,26.0,0.03,298.15
3.896,92.0,0,15.0,42.0,0.03,298.15
3.996,92.0,0,15.0,31.0,0.03,298.15
4.097,92.0,0,15.0,42.0,0.03,298.15
4.198,92.0,0,15.0,45.0,0.03,298.15
4.299,92.0,0,15.0,59.0,0.03,298.15
4.401,92.0,0,15.0,50.0,0.03,298.15
4.502,92.0,0,15.0,45.0,0.03,298.15
4.605,92.0,0,15.0,42.0,0.03,298.15
4.705,92.0,0,15.0,60.0,0.03,298.15
4.805,92.0,0,15.0,36.0,0.03,298.15
4.906,92.0,0,15.0,42.0,0.03,298.15
5.007,92.0,0,15.0,41.0,0.04,298.15
5.107,92.0,0,15.0,32.0,0.04,298.15
5.209,92.0,0,15.0,33.0,0.04,298.15
5.309,92.0,0,15.0,31.0,0.04,298.15
5.41,92.0,0,15.0,45.0,0.04,298.15
5.514,92.0,0,15.0,70.0,0.04,298.15
5.615,92.0,0,15.0,42.0,0.04,298.15
5.717,92.0,0,15.0,29.0,0.04,298.15
5.818,92.0,0,15.0,41.0,0.04,298.15
5.919,92.0,0,15.0,33.0,0.04,298.15
6.02,92.0,0,15.0,36.0,0.04,298.15
6.12,92.0,0,15.0,44.0,0.04,298.15
6.222,92.0,0,15.0,27.0,0.04,298.15
6.323,92.0,0,15.0,40.0,0.04,298.15
6.424,92.0,0,15.0,42.0,0.04,298.15
6.524,92.0,0,15.0,37.0,0.04,298.15
6.626,92.0,0,15.0,51.0,0.04,298.15
6.726,92.0,0,15.0,25.0,0.04,298.15
6.827,92.0,0,15.0,23.0,0.04,298.15
6.929,92.0,0,15.0,28.0,0.04,298.15
7.03,92.0,0,15.0,54.0,0.04,298.15
7.13,92.0,0,15.0,42.0,0.04,298.15
7.231,92.0,0,15.0,55.0,0.04,298.15
7.332,92.0,0,15.0,56.0,0.04,298.15
7.435,92.0,0,15.0,52.0,0.05,298.15
7.536,92.0,0,15.0,63.0,0.05,298.15
7.636,92.0,0,15.0,45.0,0.05,298.15
7.738,92.0,0,15.0,72.0,0.05,298.15
7.839,92.0,0,15.0,67.0,0.05,298.15
7.939,92.0,0,15.0,54.0,0.05,298.15
8.04,92.0,0,15.0,42.0,0.05,298.15
8.141,92.0,0,15.0,64.0,0.05,298.15
8.242,92.0,0,15.0,28.0,0.05,298.15
8.343,92.0,0,15.0,37.0,0.05,298.15
8.443,92.0,0,15.0,40.0,0.05,298.15
8.544,92.0,0,15.0,29.0,0.05,298.15
8.646,92.0,0,15.0,20.0,0.05,298.15
8.747,92.0,0,15.0,38.0,0.05,298.15
8.848,92.0,0,15.0,51.0,0.05,298.15
8.948,92.0,0,15.0,66.0,0.05,298.15
9.049,92.0,0,15.0,30.0,0.05,298.15
9.15,92.0,0,15.0,26.0,0.05,298.15
9.251,92.0,0,15.0,29.0,0.05,298.15
9.352,92.0,0,15.0,50.0,0.05,298.15
9.453,92.0,0,15.0,29.0,0.05,298.15
9.553,92.0,0,15.0,31.0,0.05,298.15
9.654,92.0,0,15.0,42.0,0.05,298.15
9.755,92.0,0,15.0,33.0,0.05,298.15
9.855,92.0,0,15.0,40.0,0.05,298.15
9.956,92.0,0,15.0,58.0,0.05,298.15
10.057,92.0,0,15.0,92.0,0.05,298.15
10.157,92.0,0,15.0,58.0,0.05,298.15
10.258,92.0,0,15.0,22.0,0.05,298.15
10.359,92.0,0,15.0,16.0,0.05,298.15
10.459,92.0,0,15.0,32.0,0.05,298.15
10.561,92.0,0,15.0,29.0,0.05,298.15
10.661,92.0,0,15.0,39.0,0.05,298.15
10.763,92.0,0,15.0,36.0,0.06,298.15
10.865,92.0,0,15.0,45.0,0.06,298.15
10.967,92.0,0,15.0,20.0,0.06,298.15
11.067,92.0,0,15.0,43.0,0.06,298.15
11.169,92.0,0,15.0,52.0,0.06,298.15
11.27,92.0,0,15.0,33.0,0.06,298.15
11.37,92.0,0,15.0,50.0,0.06,298.15
11.471,92.0,0,15.0,33.0,0.06,298.15
11.577,92.0,0,15.0,27.0,0.06,298.15
11.627,92.0,0,15.0,36.0,0.06,298.15
11.732,92.0,0,15.0,44.0,0.06,298.15
11.83,92.0,0,15.0,53.0,0.06,298.15
11.933,92.0,0,15.0,30.0,0.06,298.15
12.039,92.0,0,15.0,35.0,0.06,298.15
12.138,92.0,0,15.0,42.0,0.06,298.15
12.239,92.0,0,15.0,58.0,0.06,298.15
12.34,92.0,0,15.0,60.0,0.06,298.15
12.441,92.0,0,15.0,32.0,0.06,298.15
12.541,92.0,0,15.0,28.0,0.06,298.15
12.642,92.0,0,15.0,23.0,0.06,298.15
