timestamp,soc,screen_on,brightness_raw,cpu_load_raw,x_net,t_env
0.0,42.0,1.0,255.0,89.0,30.0,298.15
0.092,42.0,1.0,255.0,83.0,22.53531001321078,298.15
0.153,42.0,1.0,255.0,80.0,21.368000046294604,298.15
0.215,42.0,1.0,255.0,76.0,30.0,298.15
0.282,42.0,1.0,255.0,84.0,30.0,298.15
0.357,42.0,1.0,255.0,89.0,25.9741924869515,298.15
0.408,42.0,1.0,255.0,86.0,30.0,298.15
0.482,42.0,1.0,255.0,83.0,30.0,298.15
0.572,42.0,1.0,255.0,76.0,27.869100148233535,298.15
0.637,42.0,1.0,255.0,76.0,25.083766720300076,298.15
0.688,42.0,1.0,255.0,77.0,23.82177134028765,298.15
0.737,42.0,1.0,255.0,82.0,30.0,298.15
0.789,42.0,1.0,255.0,65.0,26.449040344240835,298.15
0.838,42.0,1.0,255.0,82.0,20.0,298.15
0.884,42.0,1.0,255.0,68.0,25.248144251705227,298.15
0.95,42.0,1.0,255.0,75.0,30.0,298.15
0.997,42.0,1.0,255.0,68.0,20.587853479392315,298.15
1.051,42.0,1.0,255.0,77.0,20.47050033616671,298.15
1.102,42.0,1.0,255.0,72.0,29.842224419561116,298.15
1.171,42.0,1.0,255.0,85.0,29.853960847439083,298.15
1.223,42.0,1.0,255.0,86.0,30.0,298.15
1.289,42.0,1.0,255.0,86.0,30.0,298.15
1.368,42.0,1.0,255.0,87.0,30.0,298.15
1.418,42.0,1.0,255.0,76.0,30.0,298.15
1.482,42.0,1.0,255.0,90.0,30.0,298.15
1.54,42.0,1.0,255.0,83.0,23.345104485815927,298.15
1.631,42.0,1.0,255.0,72.0,24.282654390483223,298.15
1.732,42.0,1.0,255.0,69.0,21.394051820056482,298.15
1.834,42.0,1.0,255.0,68.0,22.696146474913316,298.15
1.934,42.0,1.0,255.0,61.0,30.0,298.15
2.035,42.0,1.0,255.0,62.0,20.0,298.15
2.136,42.0,1.0,255.0,55.0,26.297152823331448,298.15
2.237,42.0,1.0,255.0,82.0,26.209646963308714,298.15
2.338,42.0,1.0,255.0,65.0,28.33514014560081,298.15
2.439,42.0,1.0,255.0,66.0,26.05627445345618,298.15
2.54,42.0,1.0,255.0,78.0,23.10238571028052,298.15
2.641,42.0,1.0,255.0,81.0,26.072049147658305,298.15
2.741,42.0,1.0,255.0,79.0,30.0,298.15
2.842,42.0,1.0,255.0,83.0,30.0,298.15
2.944,42.0,1.0,255.0,65.0,28.643406822897227,298.15
3.045,42.0,1.0,255.0,84.0,30.0,298.15
3.147,42.0,1.0,255.0,80.0,20.0,298.15
3.248,42.0,1.0,255.0,66.0,23.215591117049392,298.15
3.351,42.0,1.0,255.0,68.0,25.728586598805695,298.15
3.451,42.0,1.0,255.0,71.0,30.0,298.15
3.553,42.0,1.0,255.0,60.0,21.81427775638735,298.15
3.654,42.0,1.0,255.0,75.0,27.944606529744167,298.15
3.755,42.0,1.0,255.0,66.0,30.0,298.15
3.823,42.0,1.0,255.0,75.0,29.340529289394627,298.15
3.907,42.0,1.0,255.0,90.0,30.0,298.15
4.007,42.0,1.0,255.0,81.0,20.0,298.15
4.108,42.0,1.0,255.0,81.0,30.0,298.15
4.215,42.0,1.0,255.0,80.0,30.0,298.15
4.314,42.0,1.0,255.0,68.0,30.0,298.15
4.416,42.0,1.0,255.0,64.0,23.811762158441148,298.15
4.517,42.0,1.0,255.0,59.0,22.92186393379441,298.15
4.618,42.0,1.0,255.0,70.0,25.793156857803552,298.15
4.719,42.0,1.0,255.0,61.0,30.0,298.15
4.82,42.0,1.0,255.0,68.0,30.0,298.15
4.92,42.0,1.0,255.0,60.0,28.977312794977507,298.15
5.022,42.0,1.0,255.0,62.0,30.0,298.15
5.123,42.0,1.0,255.0,57.0,30.0,298.15
5.224,42.0,1.0,255.0,61.0,30.0,298.15
5.325,42.0,1.0,255.0,74.0,30.0,298.15
7.024,42.0,1.0,255.0,81.0,30.0,298.15
7.141,42.0,1.0,255.0,85.0,20.0,298.15
7.236,42.0,1.0,255.0,95.0,30.0,298.15
8.113,42.0,1.0,255.0,87.0,21.68354234771507,298.15
8.215,42.0,1.0,255.0,79.0,20.78719610057744,298.15
8.325,42.0,1.0,255.0,92.0,30.0,298.15
8.422,42.0,1.0,255.0,93.0,20.0,298.15
8.525,42.0,1.0,255.0,89.0,30.0,298.15
8.637,42.0,1.0,255.0,94.0,30.0,298.15
8.729,42.0,1.0,255.0,96.0,30.0,298.15
8.842,42.0,1.0,255.0,88.0,20.0,298.15
8.944,42.0,1.0,255.0,82.0,30.0,298.15
9.039,42.0,1.0,255.0,88.0,30.0,298.15
9.138,42.0,1.0,255.0,83.0,20.202011546591475,298.15
9.24,42.0,1.0,255.0,86.0,20.108252808726018,298.15
